Brand,Address,City,State,Postal Code,Date,Time
Wendy's,6438 S Staples,Corpus Christi,TX,78413,2019-02-20,11:17:30
Wendy's,2900 S US Highway 287,Corsicana,TX,75109,2019-02-20,11:17:31
Wendy's,35 W FM 468,Cotulla,TX,78014,2019-02-20,11:17:31
Wendy's,14425 FM 2100,Crosby,TX,77532,2019-02-20,11:17:31
Wendy's,12611 Louetta Street,Cypress,TX,77429,2019-02-20,11:17:31
Wendy's,17545 Spring Cypress Road,Cypress,TX,77429,2019-02-20,11:17:31
Wendy's,18025 FM 529,Cypress,TX,77433,2019-02-20,11:17:31
Wendy's,28060 Hwy 290,Cypress,TX,77433,2019-02-20,11:17:31
Wendy's,9806 Fry Road,Cypress,TX,77433,2019-02-20,11:17:31
Wendy's,10046 Marsh Lane,Dallas,TX,75229,2019-02-20,11:17:32
Wendy's,11711 E NW Highway,Dallas,TX,75218,2019-02-20,11:17:32
Wendy's,11722 N Central Expy,Dallas,TX,75243,2019-02-20,11:17:32
Wendy's,135 Short Blvd,Dallas,TX,75232,2019-02-20,11:17:32
Wendy's,1507 E Kiest Blvd,Dallas,TX,75216,2019-02-20,11:17:32
Wendy's,17981 Preston Road,Dallas,TX,75252,2019-02-20,11:17:32
Wendy's,17989 Marsh Lane,Dallas,TX,75287,2019-02-20,11:17:32
Wendy's,1910 S Buckner Ave,Dallas,TX,75217,2019-02-20,11:17:25
Wendy's,1981 Fort Worth Ave,Dallas,TX,75208,2019-02-20,11:17:32
Wendy's,2241 W Northwest Hwy,Dallas,TX,75220,2019-02-20,11:17:32
Wendy's,2328 W Illinois Ave,Dallas,TX,75224,2019-02-20,11:17:32
Wendy's,2507 Royal Lane,Dallas,TX,75229,2019-02-20,11:17:32
Wendy's,2625 N International Parkway,Dallas,TX,75261,2019-02-20,11:17:32
Wendy's,2828 W Wheatland,Dallas,TX,75237,2019-02-20,11:17:28
Wendy's,3790 Forest Lane,Dallas,TX,75244,2019-02-20,11:17:32
Wendy's,4018 Lemmon Ave,Dallas,TX,75219,2019-02-20,11:17:32
Wendy's,4380 Dallas Ft Worth Tpke,Dallas,TX,75211,2019-02-20,11:17:32
Wendy's,510 South Beckley,Dallas,TX,75203,2019-02-20,11:17:32
Wendy's,5215 Spring Valley Rd,Dallas,TX,75254,2019-02-20,11:17:23
Wendy's,5502 Harry Hines Blvd,Dallas,TX,75235,2019-02-20,11:17:32
Wendy's,5555 N Jim Miller,Dallas,TX,75228,2019-02-20,11:17:32
Wendy's,6011 Greenville Ave,Dallas,TX,75206,2019-02-20,11:17:32
Wendy's,8787 S Lancaster Road,Dallas,TX,75241,2019-02-20,11:17:32
Wendy's,9680 Audelia,Dallas,TX,75238,2019-02-20,11:17:32
Wendy's,1180 FM 51 South,Decatur,TX,76234,2019-02-20,11:17:32
Wendy's,2213 Avenue F,Del Rio,TX,78840,2019-02-20,11:17:32
Wendy's,1576 W University Dr,Denton,TX,76201,2019-02-20,11:17:32
Wendy's,2213 S Interstate 35 E,Denton,TX,76205,2019-02-20,11:17:32
Wendy's,4900 Teasley Ln,Denton,TX,76210,2019-02-20,11:17:32
Wendy's,6421 N Interstate 35,Denton,TX,76207,2019-02-20,11:17:32
Wendy's,8100 I-35 East,Denton,TX,76210,2019-02-20,11:17:32
Wendy's,1304 E Pleasant Run,Desoto,TX,75115,2019-02-20,11:17:28
Wendy's,124 FM 517 West,Dickinson,TX,77539,2019-02-20,11:17:33
Wendy's,622 E Camp Wisdom Road,Duncanville,TX,75116,2019-02-20,11:17:28
Wendy's,2419 E Main Street,Eagle Pass,TX,78852,2019-02-20,11:17:33
Wendy's,4011 S McColl Road,Edinburg,TX,78539,2019-02-20,11:17:33
Wendy's,10771 Gateway Plaza Blvd,El Paso,TX,79924,2019-02-20,11:17:24
Wendy's,1176 Yarbrough Dr,El Paso,TX,79925,2019-02-20,11:17:34
Wendy's,13020 Eastlake Blvd,El Paso,TX,79928,2019-02-20,11:17:34
Wendy's,1501 George Dieter Drive,El Paso,TX,79936,2019-02-20,11:17:34
Wendy's,1890 Zaragosa Rd,El Paso,TX,79936,2019-02-20,11:17:34
Wendy's,3501 North Mesa,El Paso,TX,79902,2019-02-20,11:17:24
Wendy's,6201 Montana Ave,El Paso,TX,79925,2019-02-20,11:17:34
Wendy's,7453 North Mesa,El Paso,TX,79912,2019-02-20,11:17:24
Wendy's,825 N Zaragoza Rd,El Paso,TX,79907,2019-02-20,11:17:34
Wendy's,9150 Viscount,El Paso,TX,79925,2019-02-20,11:17:34
Wendy's,9516 Dyer St,El Paso,TX,79924,2019-02-20,11:17:24
Wendy's,1002 E Ennis Ave,Ennis,TX,75119,2019-02-20,11:17:31
Wendy's,4169 LBJ Freeway,Farmers Branch,TX,75244,2019-02-20,11:17:23
Wendy's,2041 Justin Road,Flower Mound,TX,75028,2019-02-20,11:17:34
Wendy's,2120 Long Prarie Road,Flower Mound,TX,75022,2019-02-20,11:17:34
Wendy's,850 E Hwy 80,Forney,TX,75126,2019-02-20,11:17:34
Wendy's,14160 Trinity Blvd,Fort Worth,TX,76155,2019-02-20,11:17:35
Wendy's,1500 East Chase Parkway,Fort Worth,TX,76120,2019-02-20,11:17:35
Wendy's,1751 S Cherry Lane,Fort Worth,TX,76108,2019-02-20,11:17:26
Wendy's,221 W Seminary Drive,Fort Worth,TX,76115,2019-02-20,11:17:35
Wendy's,2317 W Berry St,Fort Worth,TX,76110,2019-02-20,11:17:35
Wendy's,2420 Westport Pkwy,Fort Worth,TX,76177,2019-02-20,11:17:32
Wendy's,2800 E Berry St,Fort Worth,TX,76105,2019-02-20,11:17:35
Wendy's,2801 N Tarrant Pkwy,Fort Worth,TX,76177,2019-02-20,11:17:35
Wendy's,2926 W 7th Ave,Fort Worth,TX,76107,2019-02-20,11:17:35
Wendy's,3815 Southwest Loop 820,Fort Worth,TX,76133,2019-02-20,11:17:26
Wendy's,5900 Camp Bowie Blvd,Fort Worth,TX,76107,2019-02-20,11:17:26
Wendy's,6250 Oakmont Blvd,Fort Worth,TX,76132,2019-02-20,11:17:26
Wendy's,6321 Wichita St,Fort Worth,TX,76119,2019-02-20,11:17:35
Wendy's,6716 Bridge Street,Fort Worth,TX,76112,2019-02-20,11:17:35
Wendy's,963 N Beach St,Fort Worth,TX,76111,2019-02-20,11:17:35
Wendy's,104 E Edgewood Avenue,Friendswood,TX,77546,2019-02-20,11:17:35
Wendy's,3101 FM 528,Friendswood,TX,77546,2019-02-20,11:17:33
Wendy's,500 Baybrook Mall,Friendswood,TX,77546,2019-02-20,11:17:35
Wendy's,12150 FM 423,Frisco,TX,75034,2019-02-20,11:17:35
Wendy's,3208 Preston Rd,Frisco,TX,75034,2019-02-20,11:17:35
Wendy's,5555 El Dorado Parkway,Frisco,TX,75033,2019-02-20,11:17:35
Wendy's,5622 FM 423,Frisco,TX,75034,2019-02-20,11:17:35
Wendy's,7201 Preston Road,Frisco,TX,75034,2019-02-20,11:17:35
Wendy's,600 W California,Gainesville,TX,76240,2019-02-20,11:17:35
Wendy's,2328 Seawall Blvd,Galveston,TX,77550,2019-02-20,11:17:35
Wendy's,1310 W Centerville Road,Garland,TX,75041,2019-02-20,11:17:36
Wendy's,1905 Garland Ave,Garland,TX,75040,2019-02-20,11:17:36
Wendy's,3232 Lavon Drive,Garland,TX,75040,2019-02-20,11:17:36
Wendy's,501 West I-30,Garland,TX,75043,2019-02-20,11:17:36
Wendy's,5235 N Garland Rd,Garland,TX,75040,2019-02-20,11:17:36
Wendy's,1102 Rivery Blvd,Georgetown,TX,78628,2019-02-20,11:17:36
Wendy's,425 E Highway 377,Granbury,TX,76048,2019-02-20,11:17:29
Wendy's,2554 W Interstate 20,Grand Prairie,TX,75052,2019-02-20,11:17:36
Wendy's,2964 W Camp Wisdom Road,Grand Prairie,TX,75052,2019-02-20,11:17:28
