Brand,Address,City,State,Postal Code,Date,Time
Sonic Drive-In,989 North Resler Road ,El Paso,TX, 79912,2019-02-21,19:33:46
Sonic Drive-In,1298 N. Bailey ,Electra,TX, 76360,2019-02-21,19:34:03
Sonic Drive-In,1134 Highway 290 ,Elgin,TX, 78621,2019-02-21,19:33:38
Sonic Drive-In,211 East Lennon Drive ,Emory,TX, 75440,2019-02-21,19:34:03
Sonic Drive-In,401 East Ennis Avenue ,Ennis,TX, 75119,2019-02-21,19:34:04
Sonic Drive-In,301 N. Main ,Euless,TX, 76039,2019-02-21,19:34:04
Sonic Drive-In,301 Highway 175 West ,Eustace,TX, 75124,2019-02-21,19:33:33
Sonic Drive-In,614 West Highway 84 ,Fairfield,TX, 75840,2019-02-21,19:33:44
Sonic Drive-In,14320 Josey Lane ,Farmers Branch,TX, 75234,2019-02-21,19:34:05
Sonic Drive-In,826 West Highway 380 ,Farmersville,TX, 75442,2019-02-21,19:34:05
Sonic Drive-In,20095 Highway 155 South ,Flint,TX, 75762,2019-02-21,19:33:43
Sonic Drive-In,1108 Tenth Street ,Floresville,TX, 78114,2019-02-21,19:34:05
Sonic Drive-In,2541 Flower Mound Road ,Flower Mound,TX, 75028,2019-02-21,19:34:05
Sonic Drive-In,2925 Crosstimbers ,Flower Mound,TX, 75028,2019-02-21,19:34:05
Sonic Drive-In,6210 Morriss Road ,Flower Mound,TX, 75028,2019-02-21,19:34:05
Sonic Drive-In,6555 Park Oaks ,Forest Hill,TX, 76140,2019-02-21,19:34:06
Sonic Drive-In,503 North Highway 548 ,Forney,TX, 75126,2019-02-21,19:33:54
Sonic Drive-In,1701 W. Dickinson ,Fort Stockton,TX, 79735,2019-02-21,19:34:06
Sonic Drive-In,10169 First Chapel Drive ,Fort Worth,TX, 76116,2019-02-21,19:33:30
Sonic Drive-In,108 N. Nichols Street ,Fort Worth,TX, 76102,2019-02-21,19:34:06
Sonic Drive-In,117 Sycamore School Road ,Fort Worth,TX, 76134,2019-02-21,19:34:06
Sonic Drive-In,1700 Western Center Blvd. ,Fort Worth,TX, 76131,2019-02-21,19:34:06
Sonic Drive-In,1800 West Berry Street ,Fort Worth,TX, 76110,2019-02-21,19:34:06
